trade_date,open,high,low,close,pre_close,pct_chg,vol,amount,adj_factor,change
20250917,947.7602,985.7967,920.232,967.0064,965.7323,0.1319,98617.47,14146955.67,1.0,1.2741
20250918,1011.2661,1017.9721,926.1736,952.9171,967.0064,-1.457,171994.85,25149758.553,1.0,-14.0893
20250919,933.4764,952.2532,899.9464,904.8015,952.9171,-5.0493,126552.24,17405922.549,1.0,-48.1156
20250922,890.5512,958.8922,872.4517,937.5,904.8015,3.6139,134359.68,18462164.26,1.0,32.6985
20250923,938.8412,955.6062,880.7202,905.566,937.5,-3.4063,128180.62,17429935.879,1.0,-31.934
20250924,891.8991,938.8412,891.8991,921.4056,905.566,1.7491,100897.18,13721388.643,1.0,15.8396
20250925,918.3141,948.8935,905.3112,929.9155,921.4056,0.9236,90301.12,12516091.788,1.0,8.5099
20250926,915.3702,932.1352,894.5815,897.9345,929.9155,-3.4391,75520.99,10227301.335,1.0,-31.981
20250929,885.1931,897.9211,852.3337,887.5402,897.9345,-1.1576,90298.05,11815948.745,1.0,-10.3943
20250930,930.794,938.1706,884.0062,888.5461,887.5402,0.1133,86539.81,11699849.21,1.0,1.0059
20251009,912.3525,942.8179,893.2403,893.7701,888.5461,0.5879,118338.23,16137619.926,1.0,5.224
20251010,873.1223,874.6714,832.209,836.2929,893.7701,-6.4309,108213.0,13767648.794,1.0,-57.4772
20251013,811.427,857.0279,811.427,846.372,836.2929,1.2052,87752.78,11019557.222,1.0,10.0791
20251014,852.9976,852.9976,798.015,802.0386,846.372,-5.2381,105876.0,12861254.895,1.0,-44.3334
20251015,810.0858,836.2259,798.015,832.8863,802.0386,3.8462,70806.98,8637499.885,1.0,30.8476
20251016,844.9571,877.1191,844.9571,854.3455,832.8863,2.5765,96667.9,12409422.159,1.0,21.4592
20251017,841.5705,864.5923,816.9461,836.6953,854.3455,-2.0659,84813.74,10607162.139,1.0,-17.6502
20251020,853.7487,894.5547,832.551,859.1202,836.6953,2.6802,128071.07,16518765.341,1.0,22.4249
20251021,859.1202,924.088,834.8981,918.0258,859.1202,6.8565,146125.63,19240518.795,1.0,58.9056
20251022,899.2758,984.4421,897.9345,958.6239,918.0258,4.4223,141335.62,19814513.226,1.0,40.5982
20251023,944.8766,950.2414,915.3702,938.1035,958.6239,-2.1406,79242.08,11008098.775,1.0,-20.5204
20251024,955.6062,1038.0901,941.5236,1022.6663,938.1035,9.0142,159565.6,23402505.412,1.0,84.5628
20251027,1046.1373,1046.144,1001.2071,1026.4753,1022.6663,0.3725,122356.06,18757215.645,1.0,3.809
20251028,1009.2543,1028.5609,977.0655,991.537,1026.4753,-3.4037,104310.9,15591302.965,1.0,-34.9383
20251029,979.0773,1026.6094,960.971,979.7479,991.537,-1.189,101228.54,14915634.309,1.0,-11.7892
20251030,965.6652,1005.8745,938.8479,953.5944,979.7479,-2.6694,117364.77,16889724.409,1.0,-26.1534
20251031,944.1792,948.2296,922.0762,922.0762,953.5944,-3.3052,85167.38,11831070.79,1.0,-31.5182
20251103,895.2521,912.4598,895.2521,903.0311,922.0762,-2.0655,63788.88,8590648.848,1.0,-19.0451
20251104,918.7232,932.7052,889.2167,898.3369,903.0311,-0.5198,71501.62,9736393.898,1.0,-4.6942
20251105,868.4281,915.3702,865.8195,903.97,898.3369,0.6271,67698.87,9005687.036,1.0,5.633
20251106,929.4528,993.0794,919.548,992.4893,903.97,9.7923,134785.95,19250016.672,1.0,88.5193
20251107,976.0931,985.0322,959.0129,960.6357,992.4893,-3.2095,66444.28,9618929.569,1.0,-31.8535
20251110,958.9793,972.3712,896.6001,933.1411,960.6357,-2.8621,89348.59,12282433.932,1.0,-27.4946
20251111,937.5,940.853,871.1843,891.8991,933.1411,-4.4197,90176.81,12109374.239,1.0,-41.242
20251112,879.8283,922.0762,877.1459,915.8932,891.8991,2.6902,67212.32,9031583.735,1.0,23.9941
20251113,906.6524,930.1234,891.2285,928.7151,915.8932,1.3999,61507.83,8363426.246,1.0,12.8219
20251114,905.3112,915.4573,888.0767,888.5528,928.7151,-4.3245,62737.92,8403397.057,1.0,-40.1623
20251117,883.1478,899.9531,860.6357,873.86,888.5528,-1.6536,67492.79,8840817.365,1.0,-14.6929
20251118,875.7712,901.5826,865.739,889.6862,873.86,1.8111,60034.36,7979099.417,1.0,15.8262
20251119,885.1931,905.3112,885.1931,893.2403,889.6862,0.3995,42413.04,5664290.197,1.0,3.5542
20251120,912.6945,915.7591,885.1931,886.7355,893.2403,-0.7282,38874.85,5185546.03,1.0,-6.5048
20251121,865.2763,870.4399,831.5518,837.5805,886.7355,-5.5434,72573.06,9176505.152,1.0,-49.155
20251124,840.1824,855.405,816.7918,846.2849,837.5805,1.0392,59214.22,7394380.933,1.0,8.7044
20251125,850.3219,861.9568,834.2275,844.9571,846.2849,-0.1569,58771.03,7414400.485,1.0,-1.3278
20251126,834.8981,898.7124,827.5282,881.6121,844.9571,4.3381,91472.9,11889049.61,1.0,36.655
20251127,912.0172,930.9281,880.4989,883.4227,881.6121,0.2054,89364.17,12117075.987,1.0,1.8106
20251128,878.4871,903.2994,865.7457,892.5697,883.4227,1.0354,58546.39,7708418.732,1.0,9.147
20251201,890.5177,926.7704,866.5504,913.6534,892.5697,2.3621,73684.03,9888480.775,1.0,21.0837
20251202,918.7232,923.4174,886.8294,891.0475,913.6534,-2.4742,46406.31,6242939.888,1.0,-22.606
20251203,893.9109,912.0172,885.2602,893.4415,891.0475,0.2687,44919.65,6005556.71,1.0,2.394
20251204,886.0046,918.2538,866.7516,918.0526,893.4415,2.7546,70527.31,9414092.024,1.0,24.6111
20251205,898.2698,936.3734,886.5343,908.6642,918.0526,-1.0226,88022.66,11982010.116,1.0,-9.3884
20251208,895.2521,966.8723,893.9244,950.7779,908.6642,4.6347,98744.31,13837959.654,1.0,42.1137
20251209,922.0762,977.4477,917.382,962.9828,950.7779,1.2837,90594.17,12892588.911,1.0,12.2049
20251210,962.9828,973.5046,919.3938,952.8433,962.9828,-1.0529,62966.51,8864636.275,1.0,-10.1395
20251211,945.5472,950.2414,922.7468,926.7838,952.8433,-2.7349,62072.59,8619204.1,1.0,-26.0595
20251212,926.7838,944.206,891.765,901.2876,926.7838,-2.751,91731.13,12503100.255,1.0,-25.4962
20251215,882.5174,923.9472,882.5174,893.1733,901.2876,-0.9003,64108.76,8667825.206,1.0,-8.1143
20251216,884.5896,893.2403,846.761,854.2918,893.1733,-4.3532,73946.27,9503366.29,1.0,-38.8814
20251217,851.7369,885.1931,847.3042,882.2425,854.2918,3.2718,63136.57,8165521.986,1.0,27.9506
20251218,871.7811,878.3329,858.3825,863.0633,882.2425,-2.1739,38865.62,5022391.299,1.0,-19.1792
20251219,871.7811,872.4517,847.6395,850.3219,863.0633,-1.4763,43265.54,5527000.531,1.0,-12.7414
20251222,855.0228,870.2052,843.6159,861.5679,850.3219,1.3226,64766.94,8285582.166,1.0,11.246
20251223,857.162,905.3112,855.0832,895.9362,861.5679,3.989,91435.03,12143932.52,1.0,34.3683
20251224,895.2521,901.9582,872.445,889.3509,895.9362,-0.735,59286.62,7830827.375,1.0,-6.5853
20251225,881.8401,894.5748,878.4871,884.7975,889.3509,-0.512,40510.27,5343991.086,1.0,-4.5534
20251226,873.1223,894.6821,865.1422,874.3898,884.7975,-1.1763,47847.97,6276085.535,1.0,-10.4077
20251229,878.467,937.5,877.1459,911.0113,874.3898,4.1882,98352.62,13413872.87,1.0,36.6215
20251230,911.2661,964.9946,911.2661,949.4367,911.0113,4.2179,91353.67,12869406.686,1.0,38.4254
20251231,956.2768,960.3004,904.0773,909.033,949.4367,-4.2555,70267.42,9747441.408,1.0,-40.4037
20260105,922.0762,941.1749,903.1518,932.1352,909.033,2.5414,65515.02,9038942.469,1.0,23.1022
20260106,925.4292,958.9592,914.0692,927.508,932.1352,-0.4964,69600.13,9668802.273,1.0,-4.6271
20260107,918.7232,938.7943,909.9249,935.4077,927.508,0.8517,68366.43,9416481.263,1.0,7.8997
20260108,944.8766,996.5129,939.5118,968.3476,935.4077,3.5214,149220.62,21582860.951,1.0,32.9399
20260109,952.2465,1013.9485,932.8058,999.8659,968.3476,3.2548,102204.98,14899518.827,1.0,31.5182
20260112,1028.9968,1039.4313,981.0891,1012.6006,999.8659,1.2736,94844.44,14379497.916,1.0,12.7347
20260113,995.8423,1019.3133,938.8345,944.2664,1012.6006,-6.7484,100029.88,14468557.793,1.0,-68.3342
20260114,952.2532,972.3578,930.8543,965.0751,944.2664,2.2037,89478.25,12769174.184,1.0,20.8087
20260115,952.9238,968.3476,933.7782,948.9002,965.0751,-1.676,57838.7,8160415.979,1.0,-16.1749
20260116,952.2532,969.0182,944.2261,954.9692,948.9002,0.6396,72255.59,10308466.086,1.0,6.0689
20260119,953.5944,978.125,944.206,952.0252,954.9692,-0.3083,69119.05,9918274.016,1.0,-2.9439
20260120,950.2414,955.6062,892.5832,900.6438,952.0252,-5.3971,87374.01,11952219.696,1.0,-51.3814
20260121,895.4869,930.794,895.1985,907.9064,900.6438,0.8064,75750.12,10345072.403,1.0,7.2626
20260122,901.2876,917.382,893.9109,907.323,907.9064,-0.0643,59350.32,8030782.537,1.0,-0.5834
20260123,896.5933,907.323,885.1931,895.2454,907.323,-1.3311,63511.27,8480917.29,1.0,-12.0775
20260126,888.5461,891.8455,869.0987,871.7811,895.2454,-2.621,67870.46,8871288.504,1.0,-23.4643
20260127,871.7811,883.7715,856.0555,872.378,871.7811,0.0685,63383.8,8235075.32,1.0,0.5968
20260128,878.4067,878.4871,857.6985,860.2334,872.378,-1.3921,69812.86,9013149.13,1.0,-12.1446
20260129,859.7908,866.4968,838.2578,839.599,860.2334,-2.3987,71581.57,9051850.983,1.0,-20.6344
20260130,839.5923,856.9407,831.6121,844.2127,839.599,0.5495,63495.43,8018391.889,1.0,4.6137
20260202,837.5805,854.0773,826.8509,832.8863,844.2127,-1.3417,66690.29,8357731.143,1.0,-11.3264
20260203,841.6041,843.4683,712.8487,756.4378,832.8863,-9.1787,226144.55,25622515.727,1.0,-76.4485
20260204,737.6609,743.4281,713.4992,716.2017,756.4378,-5.3191,117351.29,12657885.6,1.0,-40.2361
20260205,704.1376,719.5413,695.4399,709.717,716.2017,-0.9054,79421.15,8357564.076,1.0,-6.4847
20260206,699.1349,712.6341,681.0354,695.4064,709.717,-2.0164,79813.48,8272185.155,1.0,-14.3106
20260209,710.8369,741.6443,708.1545,728.809,695.4064,4.8033,96536.39,10462460.032,1.0,33.4026
20260210,741.0139,769.8498,732.0145,738.2645,728.809,1.2974,96601.2,10796371.349,1.0,9.4555
20260211,730.2039,739.6727,719.5547,723.5113,738.2645,-1.9984,55273.11,5983828.108,1.0,-14.7532
20260212,724.2355,751.073,711.7288,746.0435,723.5113,3.1143,86857.14,9502364.159,1.0,22.5322
20260213,737.6609,766.4968,733.0405,751.529,746.0435,0.7353,70569.45,7918250.312,1.0,5.4855
20260224,761.9769,765.8262,717.677,718.5823,751.529,-4.3839,81877.09,8894584.851,1.0,-32.9466
20260225,724.2422,743.6964,720.2253,726.026,718.5823,1.0359,57606.23,6266293.048,1.0,7.4437
20260226,734.4085,797.2639,716.698,783.7983,726.026,7.9573,140838.47,16034677.283,1.0,57.7723
20260227,767.8514,812.8487,765.3769,789.9678,783.7983,0.7871,121511.65,14322223.946,1.0,6.1695
20260302,771.191,810.4547,766.537,799.2892,789.9678,1.18,88219.75,10389211.104,1.0,9.3214
20260303,802.7092,803.97,757.7723,759.8243,799.2892,-4.9375,75371.16,8732618.337,1.0,-39.4649
20260304,752.4142,776.5625,744.367,749.1148,759.8243,-1.4095,58986.95,6656512.148,1.0,-10.7095
20260305,770.3058,802.052,752.4276,783.2618,749.1148,4.5583,85399.45,9922297.387,1.0,34.147
20260306,777.897,786.8428,769.89,774.4635,783.2618,-1.1233,45234.67,5238659.046,1.0,-8.7983
20260309,751.073,760.2937,732.96,755.0899,774.4635,-2.5016,60258.4,6690959.588,1.0,-19.3737
20260310,770.507,777.897,761.1387,769.2462,755.0899,1.8748,50202.93,5750878.845,1.0,14.1564
20260311,774.544,777.2264,733.2014,736.9903,769.2462,-4.1932,76210.59,8594431.103,1.0,-32.2559
20260312,736.9903,751.8777,722.8138,736.9903,736.9903,0.0,62625.27,6863561.917,1.0,0.0
20260313,745.1113,755.8007,727.5818,735.0456,736.9903,-0.2639,92906.21,10301354.225,1.0,-1.9447
20260316,729.654,733.0405,702.0923,730.9348,735.0456,-0.5593,66956.72,7211654.65,1.0,-4.1108
20260317,730.8678,751.0663,718.2202,724.2422,730.9348,-0.9156,55320.89,6045178.216,1.0,-6.6926
20260318,726.4217,729.6137,702.897,714.8605,724.2422,-1.2954,68393.17,7258997.345,1.0,-9.3817
20260319,700.7846,705.9952,692.1808,695.4265,714.8605,-2.7186,48852.75,5089266.821,1.0,-19.434
20260320,696.8817,714.6258,671.2782,687.3659,695.4265,-1.1591,101951.62,10508394.228,1.0,-8.0606
20260323,672.2774,684.3482,649.1416,651.3546,687.3659,-5.239,81515.2,8094829.806,1.0,-36.0113
20260324,660.5418,695.9496,650.4962,689.713,651.3546,5.889,90596.06,9111327.946,1.0,38.3584
20260325,690.7189,712.1111,685.9911,696.7543,689.713,1.0209,89713.88,9359463.115,1.0,7.0413
20260326,697.4249,716.6577,682.7924,687.2988,696.7543,-1.3571,49947.24,5183511.265,1.0,-9.4555
20260327,673.9539,696.1172,673.9539,686.6953,687.2988,-0.0878,50422.57,5154200.457,1.0,-0.6035
20260330,673.6655,680.6599,667.2076,676.938,686.6953,-1.4209,52269.18,5249779.442,1.0,-9.7572
20260331,671.3117,683.9995,659.2006,659.2006,676.938,-2.6202,50753.76,5072933.425,1.0,-17.7374
20260401,675.9657,713.5193,675.9657,705.0697,659.2006,6.9583,100009.13,10410610.082,1.0,45.8691
20260402,700.7846,706.4512,668.4952,669.9236,705.0697,-4.9848,70914.66,7184207.986,1.0,-35.1462
20260403,677.3069,697.4249,669.9303,687.8353,669.9236,2.6737,62244.72,6355115.333,1.0,17.9117
20260407,686.0247,768.5086,684.6902,750.4024,687.8353,9.0962,140829.0,15532637.045,1.0,62.5671
20260408,777.2935,783.919,763.1438,780.5794,750.4024,4.0214,104832.54,12135960.241,1.0,30.177
20260409,777.897,819.6218,771.8616,803.3798,780.5794,2.921,97508.72,11687631.029,1.0,22.8004
20260410,808.074,819.6218,797.2774,811.8965,803.3798,1.0601,90036.52,10839608.534,1.0,8.5166
20260413,806.0689,839.9946,806.0086,817.8782,811.8965,0.7368,78791.42,9684560.234,1.0,5.9818
20260414,821.4793,837.4464,808.805,832.8729,817.8782,1.8334,77031.7,9413266.659,1.0,14.9946
20260415,832.8863,890.0282,830.9281,854.3455,832.8729,2.5781,124298.88,16061962.461,1.0,21.4726
20260416,858.3691,881.8401,853.0177,876.4753,854.3455,2.5903,77964.84,10107382.521,1.0,22.1298
20260417,871.6939,904.9557,865.0751,894.5815,876.4753,2.0658,72105.2,9612455.944,1.0,18.1062
20260420,899.2758,924.2221,889.324,924.2221,894.5815,3.3133,75195.83,10224177.313,1.0,29.6406
20260421,912.6878,917.4624,877.1459,891.8991,924.2221,-3.4973,81790.94,10897674.222,1.0,-32.323
20260422,883.8452,898.5917,877.1996,896.5933,891.8991,0.5263,68082.09,9042046.567,1.0,4.6942
20260423,895.8959,911.9635,869.0987,887.2049,896.5933,-1.0471,77187.89,10258176.454,1.0,-9.3884
20260424,884.9517,945.2656,859.4286,906.9877,887.2049,2.2298,124071.44,16760993.798,1.0,19.7827
20260427,905.3447,929.4528,899.4635,909.8176,906.9877,0.312,70932.04,9653255.998,1.0,2.8299
20260428,907.846,951.5021,907.846,921.7409,909.8176,1.3105,74535.38,10382787.206,1.0,11.9233
20260429,916.0408,952.2532,903.2122,949.9933,921.7409,3.0651,90860.07,12679634.307,1.0,28.2524
20260430,989.1363,1139.9946,989.1363,1139.9946,949.9933,20.0003,178842.65,28465682.091,1.0,190.0013
20260506,1196.875,1318.4013,1187.6274,1223.8466,1139.9946,7.3555,197805.25,36853365.889,1.0,83.8519
20260507,1223.8063,1264.438,1202.2532,1252.6824,1223.8466,2.3562,109982.7,20370937.034,1.0,28.8358
20260508,1217.03,1220.0,1158.01,1182.53,1252.68,-5.6002,191024.42,22579188.932,1.4912,-70.15
20260511,1201.0,1205.99,1158.03,1200.0,1182.53,1.4773,231721.74,27508753.618,1.4912,17.47
20260512,1199.99,1293.33,1189.81,1277.87,1200.0,6.4892,209580.58,26179370.124,1.4912,77.87
20260513,1239.0,1316.88,1236.0,1316.88,1277.87,3.0527,158777.71,20435334.731,1.4912,39.01
20260514,1320.0,1350.0,1232.32,1260.58,1316.88,-4.2753,181138.64,23168939.11,1.4912,-56.3
20260515,1234.88,1276.89,1195.88,1209.0,1260.58,-4.0918,161749.97,19897266.825,1.4912,-51.58
20260518,1200.0,1260.0,1183.04,1216.99,1209.0,0.6609,125056.36,15362333.167,1.4912,7.99
20260519,1216.89,1326.0,1175.0,1319.2,1216.99,8.3986,186351.94,23213525.76,1.4912,102.21
20260520,1300.0,1396.0,1291.99,1362.41,1319.2,3.2755,183742.65,25016102.648,1.4912,43.21
20260521,1370.04,1386.0,1285.0,1290.9,1362.41,-5.2488,153395.09,20529652.609,1.4912,-71.51
20260522,1300.5,1319.99,1270.43,1286.0,1290.9,-0.3796,112239.94,14472861.259,1.4912,-4.9
20260525,1321.01,1435.0,1321.01,1406.5,1286.0,9.3701,173383.98,24028347.135,1.4912,120.5
20260526,1383.01,1448.01,1375.0,1410.96,1406.5,0.3171,153974.69,21675499.047,1.4912,4.46
20260527,1385.0,1412.99,1334.0,1340.0,1410.96,-5.0292,138029.49,18926941.351,1.4912,-70.96
20260528,1361.0,1404.99,1349.01,1391.5,1340.0,3.8433,126717.12,17472983.177,1.4912,51.5
20260529,1400.0,1414.0,1295.0,1310.0,1391.5,-5.857,145029.89,19414820.75,1.4912,-81.5
20260601,1326.0,1326.0,1238.0,1238.0,1310.0,-5.4962,134896.09,17200897.814,1.4912,-72.0
20260602,1246.0,1319.58,1245.0,1300.0,1238.0,5.0081,124338.95,16088931.664,1.4912,62.0
20260603,1292.3,1428.01,1291.0,1378.1,1300.0,6.0077,165598.05,22683725.029,1.4912,78.1
20260604,1365.0,1400.0,1347.0,1358.9,1378.1,-1.3932,88415.6,12121114.904,1.4912,-19.2
20260605,1342.0,1407.77,1287.34,1299.2,1358.9,-4.3933,116354.51,15620599.199,1.4912,-59.7
20260608,1239.3,1298.88,1230.08,1250.36,1299.2,-3.7592,114170.55,14376345.578,1.4912,-48.84
20260609,1279.0,1285.8,1239.02,1270.01,1250.36,1.5715,106731.85,13514130.551,1.4912,19.65
20260610,1300.0,1349.9,1224.17,1231.0,1270.01,-3.0716,138327.46,17771830.139,1.4912,-39.01
20260611,1221.96,1255.0,1199.0,1219.5,1231.0,-0.9342,111819.93,13632001.124,1.4912,-11.5
20260612,1258.0,1260.0,1202.0,1240.0,1219.5,1.681,149765.97,18376258.023,1.4912,20.5
20260615,1253.0,1345.99,1238.88,1335.0,1240.0,7.6613,154373.04,20204543.688,1.4912,95.0
20260616,1335.5,1335.91,1297.79,1306.99,1335.0,-2.0981,99671.79,13096230.889,1.4912,-28.01
20260617,1290.4,1329.87,1271.1,1320.0,1306.99,0.9954,133225.75,17255115.422,1.4912,13.01
20260618,1319.72,1540.0,1313.2,1507.46,1320.0,14.2015,221694.16,32153278.755,1.4912,187.46
20260622,1480.0,1494.94,1420.0,1456.99,1507.46,-3.348,150356.73,21882369.235,1.4912,-50.47
20260623,1453.0,1506.0,1394.84,1413.0,1456.99,-3.0192,138375.63,20001635.53,1.4912,-43.99
20260624,1402.0,1468.88,1378.0,1453.0,1413.0,2.8309,140656.44,20184662.912,1.4912,40.0
20260625,1460.0,1536.25,1436.0,1505.0,1453.0,3.5788,159821.84,23799059.014,1.4912,52.0
20260626,1482.0,1518.98,1415.0,1458.0,1505.0,-3.1229,124352.36,18243658.225,1.4912,-47.0
20260629,1462.33,1541.94,1420.0,1482.0,1458.0,1.6461,151177.65,22434932.06,1.4912,24.0
20260630,1488.41,1620.0,1488.37,1595.55,1482.0,7.6619,162216.28,25487017.441,1.4912,113.55
20260701,1560.0,1588.97,1470.01,1485.33,1595.55,-6.908,125802.4,19179504.251,1.4912,-110.22
